Date,Year,Month,Day,Time,Quarter,Day Of Week,Hour,Minute,Second,Abb. Day Of Week,AM_PM
2020-01-04 09:00:00+00:00,2020,1,4,09:00:00,1,5,9,0,0,Sat,AM
2020-01-04 10:00:00+00:00,2020,1,4,10:00:00,1,5,10,0,0,Sat,AM
2020-01-04 11:00:00+00:00,2020,1,4,11:00:00,1,5,11,0,0,Sat,AM
2020-01-04 12:00:00+00:00,2020,1,4,12:00:00,1,5,12,0,0,Sat,PM
2020-01-04 13:00:00+00:00,2020,1,4,13:00:00,1,5,13,0,0,Sat,PM
2020-01-04 14:00:00+00:00,2020,1,4,14:00:00,1,5,14,0,0,Sat,PM
2020-01-04 15:00:00+00:00,2020,1,4,15:00:00,1,5,15,0,0,Sat,PM
2020-01-04 16:00:00+00:00,2020,1,4,16:00:00,1,5,16,0,0,Sat,PM
2020-01-04 17:00:00+00:00,2020,1,4,17:00:00,1,5,17,0,0,Sat,PM
2020-01-04 18:00:00+00:00,2020,1,4,18:00:00,1,5,18,0,0,Sat,PM
2020-01-04 19:00:00+00:00,2020,1,4,19:00:00,1,5,19,0,0,Sat,PM
2020-01-04 20:00:00+00:00,2020,1,4,20:00:00,1,5,20,0,0,Sat,PM
2020-01-04 21:00:00+00:00,2020,1,4,21:00:00,1,5,21,0,0,Sat,PM
2020-01-04 22:00:00+00:00,2020,1,4,22:00:00,1,5,22,0,0,Sat,PM
2020-01-04 23:00:00+00:00,2020,1,4,23:00:00,1,5,23,0,0,Sat,PM
2020-01-05 00:00:00+00:00,2020,1,5,00:00:00,1,6,0,0,0,Sun,AM
2020-01-05 01:00:00+00:00,2020,1,5,01:00:00,1,6,1,0,0,Sun,AM
2020-01-05 02:00:00+00:00,2020,1,5,02:00:00,1,6,2,0,0,Sun,AM
2020-01-05 03:00:00+00:00,2020,1,5,03:00:00,1,6,3,0,0,Sun,AM
2020-01-05 04:00:00+00:00,2020,1,5,04:00:00,1,6,4,0,0,Sun,AM
2020-01-05 05:00:00+00:00,2020,1,5,05:00:00,1,6,5,0,0,Sun,AM
2020-01-05 06:00:00+00:00,2020,1,5,06:00:00,1,6,6,0,0,Sun,AM
2020-01-05 07:00:00+00:00,2020,1,5,07:00:00,1,6,7,0,0,Sun,AM
2020-01-05 08:00:00+00:00,2020,1,5,08:00:00,1,6,8,0,0,Sun,AM
2020-01-05 09:00:00+00:00,2020,1,5,09:00:00,1,6,9,0,0,Sun,AM
2020-01-05 10:00:00+00:00,2020,1,5,10:00:00,1,6,10,0,0,Sun,AM
2020-01-05 11:00:00+00:00,2020,1,5,11:00:00,1,6,11,0,0,Sun,AM
2020-01-05 12:00:00+00:00,2020,1,5,12:00:00,1,6,12,0,0,Sun,PM
2020-01-05 13:00:00+00:00,2020,1,5,13:00:00,1,6,13,0,0,Sun,PM
2020-01-05 14:00:00+00:00,2020,1,5,14:00:00,1,6,14,0,0,Sun,PM
2020-01-05 15:00:00+00:00,2020,1,5,15:00:00,1,6,15,0,0,Sun,PM
2020-01-05 16:00:00+00:00,2020,1,5,16:00:00,1,6,16,0,0,Sun,PM
2020-01-05 17:00:00+00:00,2020,1,5,17:00:00,1,6,17,0,0,Sun,PM
2020-01-05 18:00:00+00:00,2020,1,5,18:00:00,1,6,18,0,0,Sun,PM
2020-01-05 19:00:00+00:00,2020,1,5,19:00:00,1,6,19,0,0,Sun,PM
2020-01-05 20:00:00+00:00,2020,1,5,20:00:00,1,6,20,0,0,Sun,PM
2020-01-05 21:00:00+00:00,2020,1,5,21:00:00,1,6,21,0,0,Sun,PM
2020-01-05 22:00:00+00:00,2020,1,5,22:00:00,1,6,22,0,0,Sun,PM
2020-01-05 23:00:00+00:00,2020,1,5,23:00:00,1,6,23,0,0,Sun,PM
2020-01-06 00:00:00+00:00,2020,1,6,00:00:00,1,0,0,0,0,Mon,AM
2020-01-06 01:00:00+00:00,2020,1,6,01:00:00,1,0,1,0,0,Mon,AM
2020-01-06 02:00:00+00:00,2020,1,6,02:00:00,1,0,2,0,0,Mon,AM
2020-01-06 03:00:00+00:00,2020,1,6,03:00:00,1,0,3,0,0,Mon,AM
2020-01-06 04:00:00+00:00,2020,1,6,04:00:00,1,0,4,0,0,Mon,AM
2020-01-06 05:00:00+00:00,2020,1,6,05:00:00,1,0,5,0,0,Mon,AM
2020-01-06 06:00:00+00:00,2020,1,6,06:00:00,1,0,6,0,0,Mon,AM
2020-01-06 07:00:00+00:00,2020,1,6,07:00:00,1,0,7,0,0,Mon,AM
2020-01-06 08:00:00+00:00,2020,1,6,08:00:00,1,0,8,0,0,Mon,AM
2020-01-06 09:00:00+00:00,2020,1,6,09:00:00,1,0,9,0,0,Mon,AM
2020-01-06 10:00:00+00:00,2020,1,6,10:00:00,1,0,10,0,0,Mon,AM
2020-01-06 11:00:00+00:00,2020,1,6,11:00:00,1,0,11,0,0,Mon,AM
2020-01-06 12:00:00+00:00,2020,1,6,12:00:00,1,0,12,0,0,Mon,PM
2020-01-06 13:00:00+00:00,2020,1,6,13:00:00,1,0,13,0,0,Mon,PM
2020-01-06 14:00:00+00:00,2020,1,6,14:00:00,1,0,14,0,0,Mon,PM
2020-01-06 15:00:00+00:00,2020,1,6,15:00:00,1,0,15,0,0,Mon,PM
2020-01-06 16:00:00+00:00,2020,1,6,16:00:00,1,0,16,0,0,Mon,PM
2020-01-06 17:00:00+00:00,2020,1,6,17:00:00,1,0,17,0,0,Mon,PM
2020-01-06 18:00:00+00:00,2020,1,6,18:00:00,1,0,18,0,0,Mon,PM
2020-01-06 19:00:00+00:00,2020,1,6,19:00:00,1,0,19,0,0,Mon,PM
2020-01-06 20:00:00+00:00,2020,1,6,20:00:00,1,0,20,0,0,Mon,PM
2020-01-06 21:00:00+00:00,2020,1,6,21:00:00,1,0,21,0,0,Mon,PM
2020-01-06 22:00:00+00:00,2020,1,6,22:00:00,1,0,22,0,0,Mon,PM
2020-01-06 23:00:00+00:00,2020,1,6,23:00:00,1,0,23,0,0,Mon,PM
2020-01-07 00:00:00+00:00,2020,1,7,00:00:00,1,1,0,0,0,Tue,AM
2020-01-07 01:00:00+00:00,2020,1,7,01:00:00,1,1,1,0,0,Tue,AM
2020-01-07 02:00:00+00:00,2020,1,7,02:00:00,1,1,2,0,0,Tue,AM
2020-01-07 03:00:00+00:00,2020,1,7,03:00:00,1,1,3,0,0,Tue,AM
2020-01-07 04:00:00+00:00,2020,1,7,04:00:00,1,1,4,0,0,Tue,AM
2020-01-07 05:00:00+00:00,2020,1,7,05:00:00,1,1,5,0,0,Tue,AM
2020-01-07 06:00:00+00:00,2020,1,7,06:00:00,1,1,6,0,0,Tue,AM
2020-01-07 07:00:00+00:00,2020,1,7,07:00:00,1,1,7,0,0,Tue,AM
2020-01-07 08:00:00+00:00,2020,1,7,08:00:00,1,1,8,0,0,Tue,AM
2020-01-07 09:00:00+00:00,2020,1,7,09:00:00,1,1,9,0,0,Tue,AM
2020-01-07 10:00:00+00:00,2020,1,7,10:00:00,1,1,10,0,0,Tue,AM
2020-01-07 11:00:00+00:00,2020,1,7,11:00:00,1,1,11,0,0,Tue,AM
2020-01-07 12:00:00+00:00,2020,1,7,12:00:00,1,1,12,0,0,Tue,PM
2020-01-07 13:00:00+00:00,2020,1,7,13:00:00,1,1,13,0,0,Tue,PM
2020-01-07 14:00:00+00:00,2020,1,7,14:00:00,1,1,14,0,0,Tue,PM
2020-01-07 15:00:00+00:00,2020,1,7,15:00:00,1,1,15,0,0,Tue,PM
2020-01-07 16:00:00+00:00,2020,1,7,16:00:00,1,1,16,0,0,Tue,PM
2020-01-07 17:00:00+00:00,2020,1,7,17:00:00,1,1,17,0,0,Tue,PM
2020-01-07 18:00:00+00:00,2020,1,7,18:00:00,1,1,18,0,0,Tue,PM
2020-01-07 19:00:00+00:00,2020,1,7,19:00:00,1,1,19,0,0,Tue,PM
2020-01-07 20:00:00+00:00,2020,1,7,20:00:00,1,1,20,0,0,Tue,PM
2020-01-07 21:00:00+00:00,2020,1,7,21:00:00,1,1,21,0,0,Tue,PM
2020-01-07 22:00:00+00:00,2020,1,7,22:00:00,1,1,22,0,0,Tue,PM
2020-01-07 23:00:00+00:00,2020,1,7,23:00:00,1,1,23,0,0,Tue,PM
2020-01-08 00:00:00+00:00,2020,1,8,00:00:00,1,2,0,0,0,Wed,AM
2020-01-08 01:00:00+00:00,2020,1,8,01:00:00,1,2,1,0,0,Wed,AM
2020-01-08 02:00:00+00:00,2020,1,8,02:00:00,1,2,2,0,0,Wed,AM
2020-01-08 03:00:00+00:00,2020,1,8,03:00:00,1,2,3,0,0,Wed,AM
2020-01-08 04:00:00+00:00,2020,1,8,04:00:00,1,2,4,0,0,Wed,AM
2020-01-08 05:00:00+00:00,2020,1,8,05:00:00,1,2,5,0,0,Wed,AM
2020-01-08 06:00:00+00:00,2020,1,8,06:00:00,1,2,6,0,0,Wed,AM
2020-01-08 07:00:00+00:00,2020,1,8,07:00:00,1,2,7,0,0,Wed,AM
2020-01-08 08:00:00+00:00,2020,1,8,08:00:00,1,2,8,0,0,Wed,AM
2020-01-08 09:00:00+00:00,2020,1,8,09:00:00,1,2,9,0,0,Wed,AM
2020-01-08 10:00:00+00:00,2020,1,8,10:00:00,1,2,10,0,0,Wed,AM
2020-01-08 11:00:00+00:00,2020,1,8,11:00:00,1,2,11,0,0,Wed,AM
2020-01-08 12:00:00+00:00,2020,1,8,12:00:00,1,2,12,0,0,Wed,PM
2020-01-08 13:00:00+00:00,2020,1,8,13:00:00,1,2,13,0,0,Wed,PM
2020-01-08 14:00:00+00:00,2020,1,8,14:00:00,1,2,14,0,0,Wed,PM
2020-01-08 15:00:00+00:00,2020,1,8,15:00:00,1,2,15,0,0,Wed,PM
2020-01-08 16:00:00+00:00,2020,1,8,16:00:00,1,2,16,0,0,Wed,PM
2020-01-08 17:00:00+00:00,2020,1,8,17:00:00,1,2,17,0,0,Wed,PM
2020-01-08 18:00:00+00:00,2020,1,8,18:00:00,1,2,18,0,0,Wed,PM
2020-01-08 19:00:00+00:00,2020,1,8,19:00:00,1,2,19,0,0,Wed,PM
2020-01-08 20:00:00+00:00,2020,1,8,20:00:00,1,2,20,0,0,Wed,PM
2020-01-08 21:00:00+00:00,2020,1,8,21:00:00,1,2,21,0,0,Wed,PM
2020-01-08 22:00:00+00:00,2020,1,8,22:00:00,1,2,22,0,0,Wed,PM
2020-01-08 23:00:00+00:00,2020,1,8,23:00:00,1,2,23,0,0,Wed,PM
2020-01-09 00:00:00+00:00,2020,1,9,00:00:00,1,3,0,0,0,Thu,AM
2020-01-09 01:00:00+00:00,2020,1,9,01:00:00,1,3,1,0,0,Thu,AM
2020-01-09 02:00:00+00:00,2020,1,9,02:00:00,1,3,2,0,0,Thu,AM
2020-01-09 03:00:00+00:00,2020,1,9,03:00:00,1,3,3,0,0,Thu,AM
2020-01-09 04:00:00+00:00,2020,1,9,04:00:00,1,3,4,0,0,Thu,AM
2020-01-09 05:00:00+00:00,2020,1,9,05:00:00,1,3,5,0,0,Thu,AM
2020-01-09 06:00:00+00:00,2020,1,9,06:00:00,1,3,6,0,0,Thu,AM
2020-01-09 07:00:00+00:00,2020,1,9,07:00:00,1,3,7,0,0,Thu,AM
2020-01-09 08:00:00+00:00,2020,1,9,08:00:00,1,3,8,0,0,Thu,AM
2020-01-09 09:00:00+00:00,2020,1,9,09:00:00,1,3,9,0,0,Thu,AM
2020-01-09 10:00:00+00:00,2020,1,9,10:00:00,1,3,10,0,0,Thu,AM
2020-01-09 11:00:00+00:00,2020,1,9,11:00:00,1,3,11,0,0,Thu,AM
2020-01-09 12:00:00+00:00,2020,1,9,12:00:00,1,3,12,0,0,Thu,PM
2020-01-09 13:00:00+00:00,2020,1,9,13:00:00,1,3,13,0,0,Thu,PM
2020-01-09 14:00:00+00:00,2020,1,9,14:00:00,1,3,14,0,0,Thu,PM
2020-01-09 15:00:00+00:00,2020,1,9,15:00:00,1,3,15,0,0,Thu,PM
2020-01-09 16:00:00+00:00,2020,1,9,16:00:00,1,3,16,0,0,Thu,PM
2020-01-09 17:00:00+00:00,2020,1,9,17:00:00,1,3,17,0,0,Thu,PM
2020-01-09 18:00:00+00:00,2020,1,9,18:00:00,1,3,18,0,0,Thu,PM
2020-01-09 19:00:00+00:00,2020,1,9,19:00:00,1,3,19,0,0,Thu,PM
2020-01-09 20:00:00+00:00,2020,1,9,20:00:00,1,3,20,0,0,Thu,PM
2020-01-09 21:00:00+00:00,2020,1,9,21:00:00,1,3,21,0,0,Thu,PM
2020-01-09 22:00:00+00:00,2020,1,9,22:00:00,1,3,22,0,0,Thu,PM
2020-01-09 23:00:00+00:00,2020,1,9,23:00:00,1,3,23,0,0,Thu,PM
2020-01-10 00:00:00+00:00,2020,1,10,00:00:00,1,4,0,0,0,Fri,AM
2020-01-10 01:00:00+00:00,2020,1,10,01:00:00,1,4,1,0,0,Fri,AM
2020-01-10 02:00:00+00:00,2020,1,10,02:00:00,1,4,2,0,0,Fri,AM
2020-01-10 03:00:00+00:00,2020,1,10,03:00:00,1,4,3,0,0,Fri,AM
2020-01-10 04:00:00+00:00,2020,1,10,04:00:00,1,4,4,0,0,Fri,AM
2020-01-10 05:00:00+00:00,2020,1,10,05:00:00,1,4,5,0,0,Fri,AM
2020-01-10 06:00:00+00:00,2020,1,10,06:00:00,1,4,6,0,0,Fri,AM
2020-01-10 07:00:00+00:00,2020,1,10,07:00:00,1,4,7,0,0,Fri,AM
2020-01-10 08:00:00+00:00,2020,1,10,08:00:00,1,4,8,0,0,Fri,AM
2020-01-10 09:00:00+00:00,2020,1,10,09:00:00,1,4,9,0,0,Fri,AM
2020-01-10 10:00:00+00:00,2020,1,10,10:00:00,1,4,10,0,0,Fri,AM
2020-01-10 11:00:00+00:00,2020,1,10,11:00:00,1,4,11,0,0,Fri,AM
2020-01-10 12:00:00+00:00,2020,1,10,12:00:00,1,4,12,0,0,Fri,PM
2020-01-10 13:00:00+00:00,2020,1,10,13:00:00,1,4,13,0,0,Fri,PM
2020-01-10 14:00:00+00:00,2020,1,10,14:00:00,1,4,14,0,0,Fri,PM
2020-01-10 15:00:00+00:00,2020,1,10,15:00:00,1,4,15,0,0,Fri,PM
2020-01-10 16:00:00+00:00,2020,1,10,16:00:00,1,4,16,0,0,Fri,PM
2020-01-10 17:00:00+00:00,2020,1,10,17:00:00,1,4,17,0,0,Fri,PM
2020-01-10 18:00:00+00:00,2020,1,10,18:00:00,1,4,18,0,0,Fri,PM
2020-01-10 19:00:00+00:00,2020,1,10,19:00:00,1,4,19,0,0,Fri,PM
2020-01-10 20:00:00+00:00,2020,1,10,20:00:00,1,4,20,0,0,Fri,PM
2020-01-10 21:00:00+00:00,2020,1,10,21:00:00,1,4,21,0,0,Fri,PM
2020-01-10 22:00:00+00:00,2020,1,10,22:00:00,1,4,22,0,0,Fri,PM
2020-01-10 23:00:00+00:00,2020,1,10,23:00:00,1,4,23,0,0,Fri,PM
2020-01-11 00:00:00+00:00,2020,1,11,00:00:00,1,5,0,0,0,Sat,AM
2020-01-11 01:00:00+00:00,2020,1,11,01:00:00,1,5,1,0,0,Sat,AM
2020-01-11 02:00:00+00:00,2020,1,11,02:00:00,1,5,2,0,0,Sat,AM
2020-01-11 03:00:00+00:00,2020,1,11,03:00:00,1,5,3,0,0,Sat,AM
2020-01-11 04:00:00+00:00,2020,1,11,04:00:00,1,5,4,0,0,Sat,AM
2020-01-11 05:00:00+00:00,2020,1,11,05:00:00,1,5,5,0,0,Sat,AM
2020-01-11 06:00:00+00:00,2020,1,11,06:00:00,1,5,6,0,0,Sat,AM
2020-01-11 07:00:00+00:00,2020,1,11,07:00:00,1,5,7,0,0,Sat,AM
2020-01-11 08:00:00+00:00,2020,1,11,08:00:00,1,5,8,0,0,Sat,AM
2020-01-11 09:00:00+00:00,2020,1,11,09:00:00,1,5,9,0,0,Sat,AM
2020-01-11 10:00:00+00:00,2020,1,11,10:00:00,1,5,10,0,0,Sat,AM
2020-01-11 11:00:00+00:00,2020,1,11,11:00:00,1,5,11,0,0,Sat,AM
2020-01-11 12:00:00+00:00,2020,1,11,12:00:00,1,5,12,0,0,Sat,PM
2020-01-11 13:00:00+00:00,2020,1,11,13:00:00,1,5,13,0,0,Sat,PM
2020-01-11 14:00:00+00:00,2020,1,11,14:00:00,1,5,14,0,0,Sat,PM
2020-01-11 15:00:00+00:00,2020,1,11,15:00:00,1,5,15,0,0,Sat,PM
2020-01-11 16:00:00+00:00,2020,1,11,16:00:00,1,5,16,0,0,Sat,PM
2020-01-11 17:00:00+00:00,2020,1,11,17:00:00,1,5,17,0,0,Sat,PM
2020-01-11 18:00:00+00:00,2020,1,11,18:00:00,1,5,18,0,0,Sat,PM
2020-01-11 19:00:00+00:00,2020,1,11,19:00:00,1,5,19,0,0,Sat,PM
2020-01-11 20:00:00+00:00,2020,1,11,20:00:00,1,5,20,0,0,Sat,PM
2020-01-11 21:00:00+00:00,2020,1,11,21:00:00,1,5,21,0,0,Sat,PM
2020-01-11 22:00:00+00:00,2020,1,11,22:00:00,1,5,22,0,0,Sat,PM
2020-01-11 23:00:00+00:00,2020,1,11,23:00:00,1,5,23,0,0,Sat,PM
2020-01-12 00:00:00+00:00,2020,1,12,00:00:00,1,6,0,0,0,Sun,AM
